[ 2026-04-13 19:22:00,074 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 19:22:11,993 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 19:22:11,993 ] 29 root - INFO - Loading data from c:\Users\Priyanshu\Desktop\Main\ML\Distributed-Log-Analysis\../data/raw/HDFS.log
[ 2026-04-13 19:22:43,249 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 19:22:43,256 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 19:22:43,256 ] 29 root - INFO - Loading data from c:/data/raw/HDFS.log
[ 2026-04-13 19:22:49,706 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 19:22:49,709 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 19:22:49,709 ] 29 root - INFO - Loading data from c:\Users\Priyanshu\Desktop\Main\ML\Distributed-Log-Analysis\../data/raw/HDFS.log
[ 2026-04-13 21:11:19,705 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 21:11:19,930 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 21:11:19,932 ] 29 root - INFO - Loading data from c:\Users\Priyanshu\Desktop\Main\ML\Distributed-Log-Analysis\../data/raw/HDFS.log
[ 2026-04-13 21:11:50,338 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 21:11:50,350 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 21:11:50,350 ] 29 root - INFO - Loading data from c:\Users\Priyanshu\Desktop\Main\ML\Distributed-Log-Analysis\../data/raw/HDFS.log
[ 2026-04-13 21:12:56,698 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 21:12:56,774 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 21:12:56,774 ] 29 root - INFO - Loading data from c:\Users\Priyanshu\Desktop\Main\ML\Distributed-Log-Analysis\../data/raw/HDFS.log
[ 2026-04-13 21:15:06,887 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 21:15:06,964 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 21:15:06,966 ] 29 root - INFO - Loading data from c:\Users\Priyanshu\Desktop\Main\ML\Distributed-Log-Analysis\Distributed-Log-Analysis/data/raw/HDFS.log
[ 2026-04-13 21:16:34,302 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 21:16:34,317 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 21:16:34,317 ] 29 root - INFO - Loading data from c:\Users\Priyanshu\Desktop\Main\ML\Distributed-Log-Analysis\../data/raw/HDFS.log
[ 2026-04-13 21:18:49,283 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 21:18:49,472 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 21:18:49,472 ] 29 root - INFO - Loading data from c:\Users\Priyanshu\Desktop\Main\ML\Distributed-Log-Analysis\../data/raw/HDFS.log
[ 2026-04-13 21:18:59,867 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 21:18:59,876 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 21:18:59,879 ] 29 root - INFO - Loading data from c:\Users\Priyanshu\Desktop\Main\ML\Distributed-Log-Analysis\../data/raw/HDFS.log
[ 2026-04-13 21:19:30,957 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 21:19:30,963 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 21:19:30,963 ] 29 root - INFO - Loading data from c:\Users\Priyanshu\Desktop\Main\ML\Distributed-Log-Analysis\data/raw/HDFS.log
[ 2026-04-13 21:19:37,474 ] 31 root - INFO - Data loaded successfully
