[ 2026-04-13 19:03:39,489 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 19:03:47,886 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 19:03:47,887 ] 26 root - INFO - Loading data from data/raw/HDFS.log
[ 2026-04-13 19:05:13,443 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 19:05:13,468 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 19:05:13,470 ] 26 root - INFO - Loading data from data/raw/HDFS.log
[ 2026-04-13 19:07:12,633 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 19:07:12,651 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 19:07:12,651 ] 26 root - INFO - Loading data from data/raw/HDFS.log
[ 2026-04-13 19:08:23,076 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 19:08:23,081 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 19:08:23,084 ] 26 root - INFO - Loading data from ../data/raw/HDFS.log
[ 2026-04-13 19:08:24,459 ] 28 root - INFO - Data loaded successfully
[ 2026-04-13 19:09:28,937 ] 13 root - INFO - Starting log parsing
[ 2026-04-13 19:09:29,041 ] 24 root - INFO - Log parsing completed
[ 2026-04-13 19:14:23,206 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 19:14:23,302 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 19:14:23,303 ] 26 root - INFO - Loading data from ../data/raw/HDFS.log
[ 2026-04-13 19:14:23,674 ] 28 root - INFO - Data loaded successfully
[ 2026-04-13 19:23:06,520 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 19:23:06,660 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 19:23:06,660 ] 26 root - INFO - Loading data from ../data/raw/HDFS.log
[ 2026-04-13 19:23:06,977 ] 28 root - INFO - Data loaded successfully
[ 2026-04-13 21:12:02,474 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 21:12:03,453 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 21:12:03,454 ] 26 root - INFO - Loading data from ../data/raw/HDFS.log
[ 2026-04-13 21:12:04,558 ] 28 root - INFO - Data loaded successfully
[ 2026-04-13 21:12:33,167 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 21:12:33,181 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 21:12:33,181 ] 26 root - INFO - Loading data from ../data/raw/HDFS.log
[ 2026-04-13 21:12:33,365 ] 28 root - INFO - Data loaded successfully
[ 2026-04-13 21:18:38,695 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 21:18:38,918 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 21:18:38,918 ] 26 root - INFO - Loading data from ../data/raw/HDFS.log
[ 2026-04-13 21:18:39,420 ] 28 root - INFO - Data loaded successfully
[ 2026-04-13 21:19:53,334 ] 13 root - INFO - Starting Spark Session
[ 2026-04-13 21:19:53,400 ] 19 root - INFO - Spark Session Started Successfully
[ 2026-04-13 21:19:53,400 ] 26 root - INFO - Loading data from data/raw/HDFS.log
